storm_id_code,storm_name_code,dt_snap_unix,image_filename_code,wind_kt_canonical,has_wind_label,imd_grade_ordinal,severity_tier_ordinal,wind_label_source_IMD,wind_label_source_none,lat,lon,imd_pressure_hpa,imd_pressure_drop,oci,oci_diameter,date_suspect,core_to_shield_area_ratio,dense_core_circularity_0to1,symmetry_score_0to1,cloud_cover_pct_of_valid_frame,eye_confidence_0to2,eye_to_core_diameter_ratio,storm_touches_frame_edge,pct_storm_boundary_at_frame_edge_or_nodata,aux_sst_warm_pct,aux_sst_cool_pct,aux_rainfall_heavy_pct,aux_rainfall_moderate_pct,has_image,image_to_observation_gap_hours,storm_age_hours,month_sin,month_cos,doy_sin,doy_cos,dt_snap_hour,wind_kt_lag1,pressure_lag1,wind_tendency_3h,pressure_tendency_3h,oci_diameter_missing,pressure_missing,basin_ARB,basin_BOB,basin_LAND,pipeline_grayscale,pipeline_no_image,pipeline_visible
-1,,1143601200.0,,9.6,0,-1,-1,0,1,18.3,68.3,1009.8,3.45,,,0,,,,,0,,0,0.0,,,,,0,,,0.8660254037844386,0.5000000000000001,0.9973249731081555,0.07309512989807777,3,13.1,1012.4,-3.5,-2.6,1,0,1,0,0,0,1,0
-1,,1625432400.0,,23.0,0,-1,-1,0,1,17.8,67.8,998.7,14.55,,,0,,,,,0,,0,0.0,,,,,0,,,1.2246467991473532e-16,-1.0,-0.02581844022713239,-0.9996666485105112,21,27.0,1002.7,-4.0,-4.0,1,0,1,0,0,0,1,0
-1,,1612990800.0,,11.5,0,-1,-1,0,1,18.3,61.7,1015.5,-2.25,,,0,,,,,0,,0,0.0,,,,,0,,,0.49999999999999994,0.8660254037844387,0.6354323008901774,0.7721565844991642,21,9.8,1014.9,1.7,0.6,1,0,1,0,0,0,1,0
-1,,1536073200.0,,19.8,0,-1,-1,0,1,20.4,64.0,1004.2,9.05,,,0,,,,,0,,0,0.0,,,,,0,,,-0.8660254037844384,-0.5000000000000004,-0.888057322629493,-0.4597327394521046,15,7.2,1007.5,12.6,-3.3,1,0,1,0,0,0,1,0
-1,,580672800.0,,8.8,0,-1,-1,0,1,9.7,92.1,1008.1,5.15,,,0,,,,,0,,0,0.0,,,,,0,,,0.8660254037844387,-0.4999999999999998,0.5877852522924732,-0.8090169943749473,18,12.7,1001.7,-3.9,6.4,1,0,0,1,0,0,1,0
-1,,1254117600.0,,19.3,0,-1,-1,0,1,7.0,93.1,1005.7,7.55,,,0,,,,,0,,0,0.0,,,,,0,,,-0.8660254037844384,-0.5000000000000004,-0.9979171608653922,-0.06450844944931625,6,20.3,1007.7,-1.0,-2.0,1,0,0,1,0,0,1,0
-1,,786456000.0,,9.3,0,-1,-1,0,1,12.6,62.1,1015.3,-2.05,,,0,,,,,0,,0,0.0,,,,,0,,,-0.5000000000000004,0.8660254037844384,-0.4787338401157883,0.8779600847008883,12,1.9,1015.1,7.4,0.2,1,0,1,0,0,0,1,0
-1,,776077200.0,,21.4,0,-1,-1,0,1,22.3,62.4,1002.1,11.15,,,0,,,,,0,,0,0.0,,,,,0,,,-0.4999999999999997,-0.8660254037844388,-0.5452404385406507,-0.8382797052177745,9,24.3,997.1,-2.9,5.0,1,0,1,0,0,0,1,0
-1,,490665600.0,,24.8,0,-1,-1,0,1,18.3,61.7,998.8,14.45,,,0,,,,,0,,0,0.0,,,,,0,,,1.2246467991473532e-16,-1.0,-0.2967128192734901,-0.9549667548552553,0,,,,,1,0,1,0,0,0,1,0
-1,,1347451200.0,,14.6,0,-1,-1,0,1,7.1,88.2,1004.2,9.05,,,0,,,,,0,,0,0.0,,,,,0,,,-0.8660254037844384,-0.5000000000000004,-0.9483615800121716,-0.31719128858910595,12,8.3,1008.7,6.3,-4.5,1,0,0,1,0,0,1,0
